"Transaction Hash","Status","Type","Block","Age","From","From_NameTag","To","To_NameTag","Amount","Value (USD)","Asset","Txn Fee"
"0x79eeddf3869dded500113a5611a85766569cc9a5ba1dfe2b43f50910cb84e363 ","Success","Tx","3339001","186 days ago","","hyper.bera","0x834BD0EB271Cf98982E11578C2A7037f3e3d1B6b"," ","0","$0.00","BERA","0.00000011"
"0xceb8914e032c3e23976da24df075ece9f72d383b3ba671e879b10ad62ff41d4d ","Success","Tx","3325584","187 days ago","","xabbu.bera","0x834BD0EB271Cf98982E11578C2A7037f3e3d1B6b"," ","0","$0.00","BERA","0.00000011"
"0x7b4cd7ebc99bec2db379d25f7d8f1cbd2afcab0738ddff5fc93cb2adf3a3f6cf ","Success","Tx","3325451","187 days ago","","xabbu.bera","0x834BD0EB271Cf98982E11578C2A7037f3e3d1B6b"," ","0","$0.00","BERA","0.00000011"
"0xbbdbb6093d566d236dd1ad3f96a6e007c9c6cd7367b43a73e8c1625cce681e55 ","Success","Tx","3325354","187 days ago","","xabbu.bera","0x834BD0EB271Cf98982E11578C2A7037f3e3d1B6b"," ","0","$0.00","BERA","0.00000011"
"0x8c82149c27df23ce26c2db3a0021d0bbcd9c11e0e41bdce630ad1c8f3d569cd0 ","Success","Tx","3315507","187 days ago","0xa136D3F79EC445d749d3905702CaC790C79046E1"," ","0x834BD0EB271Cf98982E11578C2A7037f3e3d1B6b"," ","0","$0.00","BERA","0.00000008"
"0x4e7ed3bf8570dd0750561fffff999fe81ce2e8d6bf003097d7649e504c2f6112 ","Success","Tx","3310846","187 days ago","0xd2881CDa4aCa733e5ba73b75196913e4A1c9D916"," ","0x834BD0EB271Cf98982E11578C2A7037f3e3d1B6b"," ","0","$0.00","BERA","0.00000009"
"0x0ecfbfa2bdd2c59969ee446556da9563e39ae78237b0d2c06dcb7329fd78e6b7 ","Success","Tx","3308160","187 days ago","","jaspergb.bera","0x834BD0EB271Cf98982E11578C2A7037f3e3d1B6b"," ","0","$0.00","BERA","0.00000014"
"0xa75923771700f9418fc2c2da7120249c278682757057983244e83e66a43b2983 ","Success","Tx","3304083","187 days ago","0x5353D57398A1d5cC3f715Df0a365d4b5F2A4044B"," ","0x834BD0EB271Cf98982E11578C2A7037f3e3d1B6b"," ","0","$0.00","BERA","0.00000013"
"0x6cc1ad1bc3a2794e6a4d8712b537b630a082a0bb0b91c44af7d20115912819f2 ","Success","Tx","3301399","187 days ago","","xabbu.bera","0x834BD0EB271Cf98982E11578C2A7037f3e3d1B6b"," ","0","$0.00","BERA","0.00000037"
"0xa6d0fa51203a30c7e7c9e31686935cc996b48f00fdeb3bfec20e88cf83259372 ","Success","Tx","3293727","187 days ago","","yehafiz.bera","0x834BD0EB271Cf98982E11578C2A7037f3e3d1B6b"," ","0","$0.00","BERA","0.00000073"
"0xa08e0cea96551c8ec385281761fe011b4a395940479d06ab6d47fa8f0a519c40 ","Success","Tx","3293525","187 days ago","","ojali.bera","0x834BD0EB271Cf98982E11578C2A7037f3e3d1B6b"," ","0","$0.00","BERA","0.00000082"
"0x2c03ed89ee45b6b61d9a2a4877c94da784a268e2297d6ede73687dd95f0a1ea2 ","Success","Tx","3291876","187 days ago","","cucamines.bera","0x834BD0EB271Cf98982E11578C2A7037f3e3d1B6b"," ","0","$0.00","BERA","0.00000049"
"0x5bb4ac178555e1e6367659b5e3e8b3bfb02477927b28f356ccb59ce7c5e03288 ","Success","Tx","3291592","187 days ago","","cucamines.bera","0x834BD0EB271Cf98982E11578C2A7037f3e3d1B6b"," ","0","$0.00","BERA","0.00000043"
"0x3d77ce9b43540e192f435bc720928e3816c83822c86e8919fe992a333150763d ","Success","Tx","3291214","187 days ago","","cucamines.bera","0x834BD0EB271Cf98982E11578C2A7037f3e3d1B6b"," ","0","$0.00","BERA","0.00000117"
"0x2ed2f086180fdeebfd32204f3340063ef1291c66ce8d87e2f3e1b1a3f7f7f172 ","Success","Tx","3286387","187 days ago","0xAb3C7565b4FbD401be57f29041EA3092A8e57fD5"," ","0x834BD0EB271Cf98982E11578C2A7037f3e3d1B6b"," ","0","$0.00","BERA","0.00000048"
"0x76c974b76c60bc11edbc4bfed1e386212a73443a009a3745e6155e867534417d ","Success","Tx","3286352","187 days ago","0x89D74550fED73d7E3426FF2E9FCA7Fb389113475"," ","0x834BD0EB271Cf98982E11578C2A7037f3e3d1B6b"," ","0","$0.00","BERA","0.00000076"
"0x9aa3685932575cf52a96ea81141140c31029c6fb039f37a0bbb39a6eda08d542 ","Success","Tx","3286147","187 days ago","","yehafiz.bera","0x834BD0EB271Cf98982E11578C2A7037f3e3d1B6b"," ","0","$0.00","BERA","0.00000057"
"0x6c53ebb7fdefef313eb48057147b8c0395cef8d820fccf02d88d60cf9f1c34a4 ","Success","Tx","3286091","187 days ago","0xAb3C7565b4FbD401be57f29041EA3092A8e57fD5"," ","0x834BD0EB271Cf98982E11578C2A7037f3e3d1B6b"," ","0","$0.00","BERA","0.00000079"
"0x5432711320b18cf9045914025571dcbd0d38c94787c3eb302098dbc3d17ec7a4 ","Success","Tx","3281864","188 days ago","","xabbu.bera","0x834BD0EB271Cf98982E11578C2A7037f3e3d1B6b"," ","0","$0.00","BERA","0.00000042"
"0x10f30e46f933181e16b1ae6988ec7b1bf34485702a4e753ae1b4024f9b9a3318 ","Success","Tx","3263002","188 days ago","0x5353D57398A1d5cC3f715Df0a365d4b5F2A4044B"," ","0x834BD0EB271Cf98982E11578C2A7037f3e3d1B6b"," ","0","$0.00","BERA","0.00000022"
"0x234cecdfc3e5771f730b3a0bf1d38b45eba652867f0d1c7795676dfc32da8f17 ","Success","Tx","3262924","188 days ago","","ojali.bera","0x834BD0EB271Cf98982E11578C2A7037f3e3d1B6b"," ","0","$0.00","BERA","0.00000002"
"0x2707247bb1888a7a960d9c172ae513b6863651623b5ef9238903b5d961ca7c20 ","Success","Tx","3262811","188 days ago","","yehafiz.bera","0x834BD0EB271Cf98982E11578C2A7037f3e3d1B6b"," ","0","$0.00","BERA","0.00000002"
"0x759fa2ec05148990f0afde82704f693b03c4488e61234c52d7b0daa1af36b787 ","Success","Tx","3262740","188 days ago","0xd2881CDa4aCa733e5ba73b75196913e4A1c9D916"," ","0x834BD0EB271Cf98982E11578C2A7037f3e3d1B6b"," ","0","$0.00","BERA","0.00000014"
"0x540aa352e4492893da1d97d477d805f5ad7a92c6d4ed63dc044610e3127e1884 ","Success","Tx","3256431","188 days ago","","ojali.bera","0x834BD0EB271Cf98982E11578C2A7037f3e3d1B6b"," ","0","$0.00","BERA","0.00000131"
"0x0e2b98236a12076015395d1c4fe209345a1a82a3bb1568bfd6b2c5c9fe2a9aa6 ","Success","Tx","3246430","188 days ago","","xabbu.bera","0x834BD0EB271Cf98982E11578C2A7037f3e3d1B6b"," ","0","$0.00","BERA","0.00000075"
"0x11eef9fd994c3205f22fb63b2b57278fdb64169fd79bb623d4457178c2cda9e6 ","Success","Tx","3246298","188 days ago","","xabbu.bera","0x834BD0EB271Cf98982E11578C2A7037f3e3d1B6b"," ","0","$0.00","BERA","0.00000616"
"0xadc7e1c998597f10df03da6783fafa214d7b2797ce88dc2039d03bc031a3a263 ","Success","Tx","3215866","189 days ago","","gudbera.bera","0x834BD0EB271Cf98982E11578C2A7037f3e3d1B6b"," ","0","$0.00","BERA","0.00000018"
"0x1a32a78f72607427083685ab1b903396ae37f62d9e4507717fb3e174973f29b6 ","Success","Tx","3215176","189 days ago","0xa136D3F79EC445d749d3905702CaC790C79046E1"," ","0x834BD0EB271Cf98982E11578C2A7037f3e3d1B6b"," ","0","$0.00","BERA","0.0000011"
"0x0f1c6d33d6a5d217a1106b703485ba202e61d25b8534090111fb58d5d96de57b ","Success","Tx","3215108","189 days ago","0x679c346bf4ed0cF9d2C1f3B483Fa71356918482A"," ","0x834BD0EB271Cf98982E11578C2A7037f3e3d1B6b"," ","0","$0.00","BERA","0.00000082"
"0x8573e4713d59cd04ec67041804dc1d254a479344a338a3bd19b18e937d3ca3ae ","Success","Tx","3213524","189 days ago","0x679c346bf4ed0cF9d2C1f3B483Fa71356918482A"," ","0x834BD0EB271Cf98982E11578C2A7037f3e3d1B6b"," ","0","$0.00","BERA","0.00000109"
"0x42c8c727f797b417f0cb500eab885ffd8daf0da5bd2ef6419eb17921d5216622 ","Success","Tx","3207941","189 days ago","","satanelrudo.bera","0x834BD0EB271Cf98982E11578C2A7037f3e3d1B6b"," ","0","$0.00","BERA","0.00001299"
"0x6e3c09c306e3570046e7d53332111ac988cb55523df7ad2275675c2728bc7fd4 ","Success","Tx","3207844","189 days ago","","satanelrudo.bera","0x834BD0EB271Cf98982E11578C2A7037f3e3d1B6b"," ","0","$0.00","BERA","0.00002273"
"0xd67070fdfeed6226e2521a72bd829607530531a5b25511ba1da5f2fddc6a4c72 ","Success","Tx","3206047","189 days ago","0x7662e4Ba2B63F40B0722E1cA38d965c0F781bD41"," ","0x834BD0EB271Cf98982E11578C2A7037f3e3d1B6b"," ","0","$0.00","BERA","0.00000255"
"0xcafc72e261636a0bf55cfbf356b1f9451b74d688759f02ec609550d3025db586 ","Success","Tx","3205861","189 days ago","0x7662e4Ba2B63F40B0722E1cA38d965c0F781bD41"," ","0x834BD0EB271Cf98982E11578C2A7037f3e3d1B6b"," ","0","$0.00","BERA","0.00000145"
"0x40ac8405d9a3e89efa0eebeec119b9f10f1c83e90eb913288899231b62547ef7 ","Success","Tx","3193146","190 days ago","0x374334e22B5d6898AF77AC4d907d8b9Aca206605"," ","0x834BD0EB271Cf98982E11578C2A7037f3e3d1B6b"," ","0","$0.00","BERA","0.00000313"
"0xd236410c3569db714c9f669bbdd303e3ab3021db965464cae9a3479a3874e625 ","Success","Tx","3193047","190 days ago","0x7662e4Ba2B63F40B0722E1cA38d965c0F781bD41"," ","0x834BD0EB271Cf98982E11578C2A7037f3e3d1B6b"," ","0","$0.00","BERA","0.00000307"
"0x9e96b99ae98d9559c13d8fd917335bfbbc8b9fd4ac423b5c4c5eb127396a69c7 ","Success","Tx","3191783","190 days ago","0x7662e4Ba2B63F40B0722E1cA38d965c0F781bD41"," ","0x834BD0EB271Cf98982E11578C2A7037f3e3d1B6b"," ","0","$0.00","BERA","0.00000312"
